SKU	Product ID	Short Description	Category Name	Brand	Model	Image Link	Product URL	Price	Shipment Costs
DLIDGS-1005A	68	This Switch has 5 x Gigabit LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 10 Gbps Switching Fabric	Switches	D-Link	D-Link DGS-1005A 5 Port Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1005a_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1005a-5-port-gigabit-switch	19.00	
DLIDGS-1008A	69	This Switch has 8 x Gigabit Ethernet LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 16 Gbps switching fabric	Switches	D-Link	D-Link DGS-1008A 8-Port Gigabit Easydesktop Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1008a_ps1_1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1008a-8-port-gigabit-easydesktop-switch	25.00	
DLIDGS-1016A	70	This Switch is Unmanaged | 16 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Switching Capacity of up to 32 Gbps	Switches	D-Link	D-Link DGS-1016A 16 Port Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1016a-_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1016a-16-port-gigabit-switch	78.00	
DLIDGS-1016D	71	This Switch is Unmanaged | 16 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Switching Capacity of up to 32 Gbps	Switches	D-Link	D-Link DGS-1016D 16 Port Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1016d_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1016d-16-port-gigabit-switch	97.50	
DLIDGS-1024A	72	This Switch is Unmanaged | 24 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Switching Capacity of up to 48 Gbps	Switches	D-Link	D-Link DGS-1024A 24 Port Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1024a_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1024a-24-port-gigabit-switch	99.00	
DLIDGS-1024D	73	This Switch is Unmanaged | 24 x Gigabit ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 48 Gbps Switching Capacity 	Switches	D-Link	D-Link DGS-1024D 24 Port Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1024d_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1024d-24-port-gigabit-switch	118.99	
DLIDGS-105	74	This Switch is Unmanaged | 5 x Gigabit LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | 10 Gbps Switching Fabric	Switches	D-Link	D-Link DGS-105 5 Ports Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-105_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-105-5-ports-gigabit-switch	29.00	
DLIDGS-108	75	This Switch is Unmanaged | 8 x Gigabit LAN ports | Gigabit Ethernet Data Transfer Rates of up to 2000 Mbps (full duplex) | Store-and-forward Transmission Method | RAM Buffer of 128 KB per device 	Switches	D-Link	D-Link DGS-108 8-Port Gigabit Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-108_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-108-8-port-gigabit-switch	38.99	
DLIDGS-1100-08P	76	This Switch has 8 x Gigabit ports | 16 Gbps Switching Capacity | Maximum Forwarding Rate of 11.9 Mpps | 2 MB Flash Memory | VoIP	Switches	D-Link	D-Link DGS-1100-08P Easysmart Switch	http://www.wireless1.com.au/media/catalog/product/d/g/dgs-1100-08p_ps4.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dgs-1100-08p-easysmart-switch	158.99	
DLIDHP-308AV	77	This Mini Adapter is HomePlug AV compliant | 10/100 Mbps Data Rate | 2 to 28 MHz Powerline Frequency Band 	Ethernet Over Power	D-Link	D-Link DHP-308AV Powerline AV 500 Mini Adapter	http://www.wireless1.com.au/media/catalog/product/d/h/dhp-308av_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dhp-308av-powerline-av-500-mini-adapter	39.00	
DLIDHP-309AV	78	This Powerline Network Kit is HomePlug AV compliant | Data speeds of up to 500Mbps | Ethernet 10/100 Mbps	Ethernet Over Power	D-Link	D-Link DHP-309AV Powerline AV 500 Mini Starter Kit	http://www.wireless1.com.au/media/catalog/product/d/h/dhp-309av_ps2_1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dhp-309av-powerline-av-500-mini-starter-kit	68.00	
DLIDIR-505	79	This Wi-Fi Booster is Single band (2.4GHz) | Wireless N | WAN/LAN 10/100 Ethernet port | Internal Antenna	Wireless Range Extenders	D-Link	D-Link DIR-505 Wi-Fi Booster	http://www.wireless1.com.au/media/catalog/product/d/i/dir-505_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dir-505-wifi-booster	38.00	
DLIDIR-868L	80	This Router suits Cable/NBN | Dual Band Wireless AC | Combined Dual Band Wi-Fi speeds of up to 1.75Gbps | Strong Range | USB 3.0 port	D-Link Promo	D-Link	D-Link DIR-868L WIRELESS AC1750 DUAL BAND Gigabit Cloud Router	http://www.wireless1.com.au/media/catalog/product/d/i/dir-868l_ps1.jpg	http://www.wireless1.com.au/d-link-promo/d-link-dir-868l-gigabit-cloud-router	174.99	
DLIDNS-320L	81	This Network Storage Enclosure supports hard drives with capacities of 4 TB or above | Gigabit Ethernet port | USB 2.0 Host port	D-Link Promo	D-Link	D-Link DNS-320L Share Center Cloud Storage	http://www.wireless1.com.au/media/catalog/product/d/n/dns-320l_ps3.jpg	http://www.wireless1.com.au/d-link-promo/d-link-dns-320l-share-center-cloud-storage	98.98	
DLIDNS-327L	82	This Network Attached Storage (NAS) supports hard drives with capacities of 4 TB or above | USB 3.0 Host port | Gigabit Ethernet port	Network Attached Storage	D-Link	D-Link DNS-327L Sharecenter 2-Bay Cloud NAS Byod	http://www.wireless1.com.au/media/catalog/product/d/n/dns-327l_ps1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dns-327l-sharecenter-2-bay-cloud-nas-byod	149.00	
DLIDSL-2544N	83	This Modem Router suits ADSL 2+ | Dual Band Wireless N | Combined Dual Band Wi-Fi speeds of up to 600 Mbps | Strong Range | USB port	D-Link Promo	D-Link	D-Link DSL-2544N Wireless Dual Band N600 ADSL2+ Gigabit Modem Router	http://www.wireless1.com.au/media/catalog/product/d/s/dsl-2544n_ps1.jpg	http://www.wireless1.com.au/d-link-promo/d-link-dsl-2544n-n600-dual-band-w-l-adsl2-m-r	95.00	
DLIDSL-2750B	84	This Modem Router suits ADSL 2+ | Single Band Wireless N | Wi-Fi speeds of up to 300Mbps | Moderate Range | 1 x USB port	Wireless Routers	D-Link	D-Link DSL-2750B Wireless N300 Modem Router	http://www.wireless1.com.au/media/catalog/product/d/s/dsl-2750b-promotion_ps1_1.jpg	http://www.wireless1.com.au/networking/networking-products/d-link-dsl-2750b-wireless-n300-modem-router	49.00	
